,주소,위도,경도
85,대구광역시 북구 노원동1가,35.88901,128.57974
86,대구광역시 중구 대봉동,35.8586783,128.603013
87,대구광역시 달서구 본동,35.8354002,128.5397293
88,대구광역시 동구 신서동,35.88605,128.73152
89,대구광역시 북구 검단동,35.9138163,128.6209698
90,대구광역시 달성군 화원읍,35.8024072,128.4964134
91,대구광역시 북구 동호동,35.96602,128.56596
92,대구광역시 수성구 이천동,35.8463878,128.6668341
93,대구광역시 중구 삼덕동2가,35.8655913,128.6022777
94,대구광역시 동구 입석동,35.89855,128.65164
95,대구광역시 수성구 중동,35.84506,128.6116
96,대구광역시 중구 삼덕동3가,35.8644339,128.6083594
97,대구광역시 달서구 파호동,35.84601,128.47322
98,대구광역시 동구 동내동,35.89042,128.7424
99,대구광역시 달성군 하빈면,35.8955154,128.4246415
100,대구광역시 동구 율암동,35.88023,128.70356
101,대구광역시 중구 동인동1가,35.87218,128.60357
102,대구광역시 서구 내당동,35.86285,128.56149
103,대구광역시 달서구 유천동,35.81485,128.51268
104,대구광역시 달서구 호산동,35.8506766,128.4881089
105,대구광역시 중구 교동,35.8736853,128.5999076
106,대구광역시 달성군 옥포읍,35.7872116,128.4612293
107,대구광역시 서구 원대동3가,35.88532,128.57388
108,대구광역시 동구 검사동,35.89596,128.6647
109,대구광역시 중구 동인동4가,35.866991,128.6102782
110,대구광역시 수성구 수성동1가,35.85519,128.61044
111,대구광역시 동구 동호동,35.86598,128.71652
112,대구광역시 북구 고성동2가,35.8802182,128.5844634
113,대구광역시 동구 각산동,35.8839617,128.7160585
114,대구광역시 서구 중리동,35.86322,128.5404
115,대구광역시 북구 고성동1가,35.8790316,128.5843178
116,대구광역시 달서구 갈산동,35.84184,128.50001
117,대구광역시 동구 대림동,35.86723,128.74766
118,대구광역시 달서구 호림동,35.83568,128.48178
119,대구광역시 수성구 연호동,35.84173,128.6723
120,대구광역시 북구 동변동,35.92143,128.6067
121,대구광역시 수성구 범물동,35.8173966,128.6468561
122,대구광역시 중구 계산동2가,35.86742,128.58967
123,대구광역시 중구 동문동,35.87223,128.59655
124,대구광역시 수성구 고모동,35.86287,128.66911
125,대구광역시 북구 금호동,35.90381,128.52815
126,대구광역시 달서구 장동,35.83845,128.51512
127,대구광역시 달서구 도원동,35.8066874,128.5358555
128,대구광역시 중구 수창동,35.87504,128.58662
129,대구광역시 중구 동인동2가,35.86884,128.6031
130,대구광역시 수성구 가천동,35.85105,128.68797
131,대구광역시 수성구 노변동,35.83098,128.70445
132,대구광역시 중구 달성동,35.8768643,128.58018
133,대구광역시 중구 동인동3가,35.87165,128.61001
134,대구광역시 중구 서문로2가,35.87109,128.58636
135,대구광역시 중구 동성로2가,35.86738,128.5937
136,대구광역시 동구 중대동,35.9879784,128.6331257
137,대구광역시 수성구 사월동,35.83963,128.71989
138,대구광역시 중구 장관동,35.86877,128.59068
139,대구광역시 동구 신평동,35.88268,128.68649
140,대구광역시 동구 숙천동,35.87868,128.75442
141,대구광역시 수성구 성동,35.85182,128.72041
142,대구광역시 중구 동일동,35.8701,128.59338
143,대구광역시 중구 시장북로,35.87229,128.58244
144,대구광역시 동구 서호동,35.86495,128.70906
145,대구광역시 동구 용수동,35.99123,128.68344
146,대구광역시 수성구 대흥동,35.82172,128.68411
147,대구광역시 중구 동성로3가,35.86742,128.5939
148,대구광역시 북구 연경동,35.96102,128.61361
149,대구광역시 서구 원대동1가,35.88182,128.5769
150,대구광역시 중구 남일동,35.8694,128.59332
151,대구광역시 동구 부동,35.89122,128.68951
152,대구광역시 동구 송정동,35.99516,128.62608
153,대구광역시 동구 백안동,35.95542,128.69552
154,대구광역시 동구 도동,35.92533,128.66264
155,대구광역시 중구 인교동,35.87283,128.58432
156,대구광역시 동구 미대동,35.95639,128.66902
157,대구광역시 북구 노원동2가,35.891,128.57356
158,대구광역시 중구 북성로1가,35.87467,128.59407
159,대구광역시 북구 조야동,35.91705,128.57722
160,대구광역시 중구 태평로2가,35.87534,128.59269
161,대구광역시 중구 포정동,35.87171,128.59269
162,대구광역시 북구 노곡동,35.91025,128.56134
163,대구광역시 동구 진인동,35.95949,128.72438
164,대구광역시 중구 서문로1가,35.87098,128.58531
165,대구광역시 동구 덕곡동,35.98988,128.6163
166,대구광역시 중구 문화동,35.87156,128.59739
167,대구광역시 동구 상매동,35.90755,128.71107
168,대구광역시 동구 사복동,35.87156,128.75354
169,대구광역시 중구 종로1가,35.87032,128.59126
170,대구광역시 중구 계산동1가,35.86901,128.58615
171,대구광역시 중구 상서동,35.87062,128.5901
172,대구광역시 중구 서성로1가,35.87128,128.58746
173,대구광역시 서구 원대동2가,35.88426,128.58012
174,대구광역시 중구 태평로1가,35.87474,128.59776
175,대구광역시 동구 미곡동,35.96778,128.68492
176,대구광역시 중구 사일동,35.8713539,128.5953489
177,대구광역시 동구 내동,35.96456,128.65425
178,대구광역시 중구 전동,35.87105,128.59269
179,대구광역시 동구 둔산동,35.90778,128.68861
180,대구광역시 동구 매여동,35.91143,128.72807
181,대구광역시 중구 도원동,35.8777289,128.5827466
182,대구광역시 중구 완전동,35.87257,128.59947
183,대구광역시 중구 북성로2가,35.87397,128.58932
184,대구광역시 중구 하서동,35.86888,128.5881
185,대구광역시 중구 화전동,35.87313,128.59509
186,대구광역시 동구 능성동,35.96662,128.73541
187,대구광역시 중구 서성로2가,35.8701926,128.5895991
188,대구광역시 동구 금강동,35.85866,128.73631
189,대구광역시 중구 향촌동,35.8736,128.5937
190,대구광역시 중구 수동,35.86974,128.58909
191,대구광역시 동구 신무동,35.99623,128.66879
192,대구광역시 중구 대안동,35.87304,128.59149
193,대구광역시 중구 종로2가,35.86834,128.5919
194,대구광역시 중구 서야동,35.87364,128.58531
195,대구광역시 동구 신용동,35.98447,128.6499
196,대구광역시 중구 동성로1가,35.86931,128.59576
197,대구광역시 동구 평광동,35.9307,128.7062
198,대구광역시 북구 도남동,35.97082,128.58815
